artist,title,album,recordLabel,sequence,programTitle,episodeTitle,episodeTimestamp
Pigeon,Miami,Outtanational,Memphis Industries,3,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
H31R,Backwards,,Big Dada,4,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Wesley JosephDanny Brown,Peace Of MindDanny Brown,,Secretly Canadian,5,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Mac DeMarco,No Other Heart,Another One,Captured Tracks,6,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Neneh Cherry,Buddy,Homebrew,Virgin Catalogue,7,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Groove Armada,Paper Romance,CD SINGLE,Work It!,8,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
The Streets,Weak Become Heroes,,679 Recordings,9,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Jane’s Addiction,Been Caught Stealing,CD SINGLE,Warner Bros,10,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
The Isley Brothers,It's Your Thing,,Global Television,11,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Run‐D.M.C.,It's Tricky,,London,12,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Khruangbin,So We Won't Forget,,Dead Oceans,13,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Robyn,Talk To Me,,Konnichiwa / Young,14,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
JusticeSimian,We Are Your Friends,CD SINGLE,Ten Records,15,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Stevie Nicks,Edge Of Seventeen,(Single),WEA,16,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Gabriels,Love And Hate In A Different Time,,GABRIEL,17,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Paul McCartney,Coming Up,,Parlophone,18,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Salt‐N‐Pepa,Shoop,,FFRR,19,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
White Denim,Pretty Green,,Downtown,20,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Otis Redding,Love Man,,RCA,21,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Dry Cleaning,Joy,,4AD,22,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Arctic Monkeys,Brianstorm,CD SINGLE,Domino,23,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
TTSSFU,Upstairs,,Partisan,24,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Public Image Ltd,Rise,,Virgin,25,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Siouxsie and the Banshees,Metal Postcard (Mittageisen),,Polydor,26,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Kim Gordon,Not Today,,Matador,27,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Darwin Deez,Constellations,CD SINGLE,LUCKY NUMBER,28,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
